Date,Product_Name,Category,Unit_Price_NGN,Is_Payday_Period,Season,Is_Promotion,Discount_Percent,Is_Weekend,Is_Holiday,Day_of_Week,Rainfall_Severity,Units_Sold
2024-01-01,Rice 50kg (Local),Grains,65000,0,Dry,0,0,0,1,Monday,Light,24
2024-01-01,Rice 5kg (Foreign),Grains,8500,0,Dry,1,15,0,1,Monday,None,75
2024-01-01,Garri 5kg (Yellow),Staples,4500,0,Dry,0,0,0,1,Monday,None,91
2024-01-01,Garri 5kg (White),Staples,4000,0,Dry,1,20,0,1,Monday,None,100
2024-01-01,Beans 5kg (Oloyin),Grains,9500,0,Dry,0,0,0,1,Monday,None,51
2024-01-01,Cooking Oil 5L,Pantry,12000,0,Dry,0,0,0,1,Monday,None,42
2024-01-01,Vegetable Oil 1L,Pantry,2800,0,Dry,0,0,0,1,Monday,None,74
2024-01-01,Palm Oil 4L,Pantry,7500,0,Dry,0,0,0,1,Monday,None,50
2024-01-01,Powdered Milk 800g,Dairy,5200,0,Dry,0,0,0,1,Monday,None,75
2024-01-01,Evaporated Milk (Pack 12),Dairy,4800,0,Dry,1,15,0,1,Monday,None,125
2024-01-01,Sugar 1kg,Pantry,2200,0,Dry,0,0,0,1,Monday,None,75
2024-01-01,Milo 500g,Beverages,3800,0,Dry,0,0,0,1,Monday,None,99
2024-01-01,Tomato Paste (Carton),Pantry,11500,0,Dry,0,0,0,1,Monday,None,40
2024-01-01,Noodles 1 Case (40s),Staples,9000,0,Dry,0,0,0,1,Monday,None,125
2024-01-01,Spaghetti 500g (Pack 20),Staples,14000,0,Dry,0,0,0,1,Monday,None,89
2024-01-01,Sachet Water (10 Bags),Beverages,3500,0,Dry,0,0,0,1,Monday,None,185
2024-01-01,Bathing Soap (Pack 6),Toiletries,3200,0,Dry,1,10,0,1,Monday,None,69
2024-01-01,Washing Powder 900g,Toiletries,2400,0,Dry,1,15,0,1,Monday,None,89
2024-01-01,Loaf Bread (Large),Bakery,1500,0,Dry,0,0,0,1,Monday,None,136
2024-01-01,Toothpaste 140g,Toiletries,1200,0,Dry,0,0,0,1,Monday,Light,72
2024-01-02,Rice 50kg (Local),Grains,65000,0,Dry,0,0,0,0,Tuesday,None,12
2024-01-02,Rice 5kg (Foreign),Grains,8500,0,Dry,1,5,0,0,Tuesday,None,41
2024-01-02,Garri 5kg (Yellow),Staples,4500,0,Dry,0,0,0,0,Tuesday,None,62
2024-01-02,Garri 5kg (White),Staples,4000,0,Dry,0,0,0,0,Tuesday,None,58
2024-01-02,Beans 5kg (Oloyin),Grains,9500,0,Dry,1,15,0,0,Tuesday,None,39
2024-01-02,Cooking Oil 5L,Pantry,12000,0,Dry,0,0,0,0,Tuesday,None,30
2024-01-02,Vegetable Oil 1L,Pantry,2800,0,Dry,0,0,0,0,Tuesday,None,51
2024-01-02,Palm Oil 4L,Pantry,7500,0,Dry,0,0,0,0,Tuesday,Heavy,21
2024-01-02,Powdered Milk 800g,Dairy,5200,0,Dry,0,0,0,0,Tuesday,None,43
2024-01-02,Evaporated Milk (Pack 12),Dairy,4800,0,Dry,1,15,0,0,Tuesday,None,80
2024-01-02,Sugar 1kg,Pantry,2200,0,Dry,1,5,0,0,Tuesday,None,53
2024-01-02,Milo 500g,Beverages,3800,0,Dry,0,0,0,0,Tuesday,None,68
2024-01-02,Tomato Paste (Carton),Pantry,11500,0,Dry,1,15,0,0,Tuesday,None,27
2024-01-02,Noodles 1 Case (40s),Staples,9000,0,Dry,1,15,0,0,Tuesday,None,97
2024-01-02,Spaghetti 500g (Pack 20),Staples,14000,0,Dry,0,0,0,0,Tuesday,None,58
2024-01-02,Sachet Water (10 Bags),Beverages,3500,0,Dry,0,0,0,0,Tuesday,None,119
2024-01-02,Bathing Soap (Pack 6),Toiletries,3200,0,Dry,0,0,0,0,Tuesday,Light,38
2024-01-02,Washing Powder 900g,Toiletries,2400,0,Dry,0,0,0,0,Tuesday,Light,49
2024-01-02,Loaf Bread (Large),Bakery,1500,0,Dry,0,0,0,0,Tuesday,None,87
2024-01-02,Toothpaste 140g,Toiletries,1200,0,Dry,0,0,0,0,Tuesday,None,43
2024-01-03,Rice 50kg (Local),Grains,65000,0,Dry,0,0,0,0,Wednesday,None,13
2024-01-03,Rice 5kg (Foreign),Grains,8500,0,Dry,0,0,0,0,Wednesday,None,38
2024-01-03,Garri 5kg (Yellow),Staples,4500,0,Dry,0,0,0,0,Wednesday,None,57
2024-01-03,Garri 5kg (White),Staples,4000,0,Dry,0,0,0,0,Wednesday,None,53
2024-01-03,Beans 5kg (Oloyin),Grains,9500,0,Dry,1,20,0,0,Wednesday,None,44
2024-01-03,Cooking Oil 5L,Pantry,12000,0,Dry,1,5,0,0,Wednesday,None,39
2024-01-03,Vegetable Oil 1L,Pantry,2800,0,Dry,0,0,0,0,Wednesday,None,43
2024-01-03,Palm Oil 4L,Pantry,7500,0,Dry,0,0,0,0,Wednesday,None,39
2024-01-03,Powdered Milk 800g,Dairy,5200,0,Dry,1,20,0,0,Wednesday,None,53
2024-01-03,Evaporated Milk (Pack 12),Dairy,4800,0,Dry,0,0,0,0,Wednesday,None,74
2024-01-03,Sugar 1kg,Pantry,2200,0,Dry,0,0,0,0,Wednesday,None,49
2024-01-03,Milo 500g,Beverages,3800,0,Dry,0,0,0,0,Wednesday,None,68
2024-01-03,Tomato Paste (Carton),Pantry,11500,0,Dry,0,0,0,0,Wednesday,None,25
2024-01-03,Noodles 1 Case (40s),Staples,9000,0,Dry,0,0,0,0,Wednesday,None,79
2024-01-03,Spaghetti 500g (Pack 20),Staples,14000,0,Dry,1,5,0,0,Wednesday,None,67
2024-01-03,Sachet Water (10 Bags),Beverages,3500,0,Dry,0,0,0,0,Wednesday,None,120
2024-01-03,Bathing Soap (Pack 6),Toiletries,3200,0,Dry,0,0,0,0,Wednesday,None,37
2024-01-03,Washing Powder 900g,Toiletries,2400,0,Dry,1,20,0,0,Wednesday,None,64
2024-01-03,Loaf Bread (Large),Bakery,1500,0,Dry,0,0,0,0,Wednesday,None,91
2024-01-03,Toothpaste 140g,Toiletries,1200,0,Dry,0,0,0,0,Wednesday,None,47
2024-01-04,Rice 50kg (Local),Grains,65000,0,Dry,0,0,0,0,Thursday,Light,16
2024-01-04,Rice 5kg (Foreign),Grains,8500,0,Dry,0,0,0,0,Thursday,None,41
2024-01-04,Garri 5kg (Yellow),Staples,4500,0,Dry,1,10,0,0,Thursday,None,62
